Chr	Start	Stop	Hox_gene	Orientation	Percent_identity_score
OW569322.1	1012739	1012916	lab	R	98.305
OW569322.1	11832845	11833022	Abd-B	R	100
OW569322.1	12151501	12151684	abd-A	R	100
OW569322.1	12422919	12423102	Ubx	R	100
OW569322.1	12726340	12726517	Antp	R	100
OW569322.1	12807226	12807403	ftz	R	82.609
OW569322.1	12879042	12879228	Scr	R	100
OW569322.1	12952999	12953176	Dfd	L	100
OW569322.1	13034595	13034778	zen	R	79.31
OW569322.1	13041294	13041474	ShxC	R	66.102
OW569322.1	13043285	13043462	ShxB	L	56.14
OW569322.1	13050514	13050691	ShxA	R	66.102
OW569322.1	13162148	13162343	Pb	R	100
OW569322.1	13402788	13402920	Ro	R	75
