HG995320.1	0	100000	10	3.4
HG995320.1	4700000	4800000	10	2.6
HG995320.1	18000000	18030000	3	4.038
HG995321.1	0	100000	10	2.3
HG995321.1	700000	800000	10	5.2
HG995321.1	2600000	2700000	10	4.2
HG995321.1	4000000	4100000	10	3.925
HG995321.1	4600000	4700000	10	6.1552999999999995
HG995321.1	6000000	6100000	10	1.0
HG995321.1	10100000	10200000	10	7.9
HG995321.1	12300000	12400000	10	4.0
HG995321.1	16050000	16100000	5	0.0
HG995322.1	0	230000	23	0.0
HG995322.1	240000	530000	29	0.034482758620689655
HG995322.1	540000	600000	6	5.0
HG995322.1	3200000	3300000	10	2.0
HG995322.1	5200000	5300000	10	1.6
HG995323.1	3200000	3300000	10	0.0
HG995323.1	6400000	6500000	10	4.0
HG995323.1	8900000	9000000	10	5.7164
HG995323.1	10100000	10260000	16	1.5625
HG995323.1	13000000	13100000	10	7.5
HG995324.1	2140000	3040000	90	2.790877777777778
HG995324.1	3060000	3200000	14	1.0811428571428572
HG995325.1	0	100000	10	3.3
HG995325.1	1400000	1500000	10	6.4
HG995325.1	8400000	8500000	10	0.3
HG995325.1	13100000	13290000	19	5.157894736842105
HG995326.1	3100000	3170000	7	3.142857142857143
HG995326.1	3180000	3200000	2	0.0
HG995326.1	7050000	7100000	5	0.0
HG995326.1	12800000	13030000	23	3.623521739130435
HG995327.1	4500000	4550000	5	7.4
HG995327.1	4560000	4600000	4	0.0
HG995327.1	12400000	12500000	10	8.0
HG995328.1	0	100000	10	4.6
HG995328.1	1380000	1400000	2	6.0
HG995328.1	1510000	1600000	9	5.888888888888889
HG995328.1	5010000	5100000	9	4.222222222222222
HG995328.1	5500000	5520000	2	0.0
HG995328.1	5540000	5600000	6	7.0015
HG995328.1	12600000	12690000	9	1.7777777777777777
HG995329.1	200000	220000	2	2.5
HG995329.1	230000	270000	4	4.250500000000001
HG995329.1	280000	370000	9	0.2222222222222222
HG995329.1	380000	500000	12	2.172083333333333
HG995329.1	900000	1000000	10	7.0
HG995329.1	1900000	2100000	20	4.4331
HG995329.1	4300000	4400000	10	6.8
HG995329.1	5100000	5200000	10	5.0325
HG995329.1	5210000	5300000	9	2.7794444444444446
HG995329.1	8000000	8200000	20	1.00695
HG995329.1	8300000	8400000	10	5.2
HG995329.1	11800000	11900000	10	1.2
HG995329.1	12600000	12630000	3	0.0
HG995330.1	10000	100000	9	0.0
HG995330.1	12320000	12360000	4	0.0
HG995331.1	0	100000	10	6.9
HG995331.1	2700000	2800000	10	5.6
HG995331.1	4900000	5000000	10	4.9
HG995331.1	9200000	9300000	10	6.0005
HG995332.1	0	100000	10	4.1318
HG995332.1	3000000	3020000	2	1.0
HG995332.1	3030000	3060000	3	0.0
HG995332.1	4200000	4300000	10	6.0
HG995332.1	12000000	12190000	19	2.2633684210526317
HG995333.1	1800000	1810000	1	0.0
HG995333.1	1820000	1830000	1	0.0
HG995333.1	1860000	1900000	4	4.25
HG995333.1	4900000	5000000	10	4.3665
HG995333.1	10300000	10400000	10	3.1
HG995334.1	0	100000	10	6.3
HG995334.1	900000	1000000	10	8.1
HG995334.1	1500000	1510000	1	1.233
HG995334.1	1520000	1600000	8	7.375
HG995334.1	3200000	3300000	10	3.4001
HG995334.1	6500000	6600000	10	2.4
HG995334.1	11300000	11400000	10	7.3
HG995334.1	11900000	12010000	11	3.727272727272727
HG995335.1	0	100000	10	3.0
HG995335.1	1200000	1300000	10	7.5
HG995335.1	2200000	2300000	10	7.6
HG995335.1	3000000	3100000	10	0.9
HG995335.1	3500000	3510000	1	0.0
HG995335.1	3540000	3610000	7	0.0
HG995335.1	3620000	3630000	1	0.0
HG995335.1	3660000	3700000	4	0.0
HG995335.1	4200000	4300000	10	5.8
HG995336.1	0	60000	6	0.37316666666666665
HG995336.1	70000	200000	13	2.3076923076923075
HG995336.1	5900000	6000000	10	4.0106
HG995336.1	10600000	10700000	10	5.5
HG995336.1	11400000	11430000	3	4.666666666666667
HG995337.1	4200000	4300000	10	3.8151
HG995337.1	9800000	9900000	10	7.3
HG995337.1	10800000	10900000	10	5.5
HG995338.1	0	900000	90	0.5444444444444444
HG995338.1	2100000	2200000	10	7.7
HG995338.1	9000000	9070000	7	5.647857142857143
HG995338.1	11100000	11110000	1	0.0
HG995339.1	0	200000	20	3.7509
HG995339.1	800000	900000	10	5.755
HG995339.1	11000000	11090000	9	8.11111111111111
HG995340.1	10000	100000	9	3.3333333333333335
HG995340.1	1300000	1400000	10	7.6
