Chr	Start	End	Type_of_telomeric_sequence		
SUPER_W1	29363	29387	end		
SUPER_Z2	1183168	1183242	middle		
SUPER_Z2	1189570	1190499	middle		
SUPER_1	36096	36145	end		
SUPER_1	44516	44560	end		
SUPER_1	46040	46069	end		
SUPER_1	49259	50968	end		
SUPER_1	57265	63363	end		
SUPER_1	1617192	1620545	middle		
SUPER_2	1697497	1697556	middle		
SUPER_2	1698698	1701441	middle		
SUPER_2	1921785	1922627	middle		
SUPER_2	3425115	3425199	middle		
SUPER_2	3428087	3428146	middle		
SUPER_2	5171939	5175884	end		
SUPER_W2	4446255	4449522	end		
SUPER_3	1351012	1352046	middle		
SUPER_3	1358400	1358499	middle		
SUPER_4	1205066	1205105	middle		
SUPER_4	1211353	1211417	middle		
SUPER_4	1221279	1221318	middle		
SUPER_4	1225645	1225674	middle		
SUPER_4	1686448	1686967	middle		
SUPER_4	4412064	4413380	end		
SUPER_5	1771875	1776207	middle		
SUPER_5	1788715	1788849	middle		
SUPER_5	2628215	2628557	middle		
SUPER_6	1843798	1843823	middle		
SUPER_6	1845004	1845058	middle		
SUPER_6	1848277	1848306	middle		
SUPER_9	1367858	1367887	middle		
SUPER_11	3690762	3690816	end		
SUPER_15	1885876	1886852	middle		
SUPER_22	1823567	1824385	middle		
SUPER_24	2404147	2404216	middle		
SUPER_24	2410516	2412703	middle		
SUPER_25	831443	833430	middle		
SUPER_26	2742265	2742314	middle		
SUPER_27	1040905	1041090	middle		
SUPER_31	2345451	2345490	middle		
SUPER_31	3170548	3170725	end		
SUPER_33	29406	29480	end		
SUPER_34	38410	38484	end		
SUPER_35	299715	299804	middle		
SUPER_35	320699	320728	middle		
SUPER_35	328178	329097	middle		
SUPER_38	1243261	1244353	middle		
SUPER_39	1604615	1604639	middle		
SUPER_41	3029744	3029783	end		
SUPER_42	105	448	end		
SUPER_42	6772	6856	end		
SUPER_42	6960	7044	end		
SUPER_44	24210	24255	end		
SUPER_44	45024	45048	end		
SUPER_46	1	316	end		
SUPER_59	1011734	1013065	middle		
SUPER_59	1019408	1019502	middle		
SUPER_60	950107	950146	middle		
SUPER_61	18101	18125	end		
SUPER_62	2741390	2741474	end		
SUPER_62	2747790	2748614	end		
SUPER_63	1543505	1543559	middle		
SUPER_63	2697187	2698490	end		
SUPER_69	1362721	1363510	middle		
SUPER_71	2281147	2281221	middle		
SUPER_71	2282023	2283646	middle		
SUPER_72	1757360	1758421	middle		
SUPER_74	1113427	1115700	middle		
SUPER_76	2253443	2253709	middle		
SUPER_79	2174637	2174661	middle		
SUPER_80	31777	31801	end		
SUPER_83	1571461	1573576	middle		
SUPER_88	1729836	1733457	middle		
SUPER_89	2474311	2474403	end		
SUPER_89	2480638	2480692	end		
SUPER_94	1637806	1637840	middle		
SUPER_94	1650348	1651249	middle		
SUPER_96	1	1752	end		
SUPER_96	4335	4364	end		
SUPER_96	5911	5975	end		
SUPER_96	12971	13060	end		
SUPER_96	14594	14623	end		
SUPER_101	2333802	2333831	end		
SUPER_101	2353252	2353291	end		
SUPER_101	2360657	2360681	end		
SUPER_114	2176771	2176863	middle		
SUPER_116	12791	13333	end		
SUPER_116	19695	19799	end		
SUPER_116	21628	21688	end		
SUPER_116	24802	24881	end		
SUPER_116	27664	28692	end		
SUPER_116	35016	35084	end		
SUPER_119	24086	24228	end		
SUPER_120	2184857	2184936	end		
SUPER_120	2188031	2188854	end		
SUPER_121	3259	3443	end		
SUPER_122	1648154	1650395	middle		
SUPER_122	1992519	1992553	middle		
SUPER_136	1	2340	end		
SUPER_143	12758	13852	end		
SUPER_143	26225	26271	end		
SUPER_143	29368	30126	end		
SUPER_143	1088204	1088298	middle		
SUPER_143	1090523	1090849	middle		
SUPER_146	1911363	1911437	end		
SUPER_146	1920305	1920614	end		
SUPER_147	1875550	1875589	middle		
SUPER_148	33974	34048	end		
SUPER_154	1887912	1888361	end		
SUPER_154	1891446	1893421	end		
SUPER_158	1	1750	end		
SUPER_158	97603	99232	middle		
SUPER_161	1304010	1304049	middle		
SUPER_167	440	504	end		
SUPER_168	8067	8231	end		
SUPER_168	11348	11447	end		
SUPER_169	1759625	1759699	end		
SUPER_169	1765858	1767208	end		
SUPER_175	1738329	1740776	end		
SUPER_182	1	2537	end		
SUPER_182	11994	12068	end		
SUPER_182	1583643	1583892	middle		
SUPER_182	1590049	1590143	middle		
SUPER_182	1676810	1676844	end		
SUPER_182	1678524	1678603	end		
SUPER_187	142433	142462	middle		
SUPER_187	156576	156600	middle		
SUPER_187	159388	159417	middle		
SUPER_194	1800	2134	end		
SUPER_194	8312	8411	end		
SUPER_205	1509420	1509457	end		
SUPER_210	4250	4309	end		
SUPER_210	1441467	1441526	end		
SUPER_210	1446024	1446083	end		
SUPER_210	1452434	1452493	end		
SUPER_214	5641	6010	end		
SUPER_215	7385	7549	end		
SUPER_219	1366520	1366792	end		
SUPER_223	103435	103509	middle		
